Durchlauf,Java 8,Java 21
1,87,138
2,77,81
3,112,103
4,86,110
5,74,105
6,66,98
7,61,94
8,70,82
9,77,76
10,70,92
11,65,73
12,83,82
13,54,89
14,56,72
15,51,76
16,49,70
17,53,76
18,68,72
19,55,82
20,54,99
21,59,70
22,68,69
23,55,71
24,67,76
25,59,77
26,51,71
27,48,66
28,47,70
29,55,69
30,71,72
31,52,75
32,48,70
33,56,64
34,59,75
35,54,76
36,53,65
37,59,63
38,66,76
39,57,71
40,53,63
41,60,75
42,66,74
43,61,83
44,57,75
45,61,70
46,58,69
47,49,63
48,49,71
49,50,78
50,63,65
