Durchlauf,Java 8,Java 21
1,12,12
2,13,11
3,11,11
4,12,10
5,11,10
6,11,10
7,8,9
8,9,11
9,6,7
10,5,8
11,5,8
12,6,8
13,6,8
14,6,7
15,6,5
16,6,5
17,5,10
18,5,6
19,4,6
20,4,6
21,4,5
22,4,5
23,4,4
24,4,4
25,5,5
26,4,4
27,4,4
28,5,5
29,6,5
30,6,5
31,5,4
32,5,4
33,6,4
34,5,3
35,5,4
36,5,3
37,5,5
38,5,5
39,4,4
40,5,4
41,5,4
42,5,4
43,5,4
44,5,4
45,4,4
46,4,4
47,4,5
48,4,5
49,5,5
50,5,6
