Durchlauf,PS Scavenge Collections,PS Scavenge Zeit,PS MarkSweep Collections,PS MarkSweep Zeit,G1 Young Generation Collections,G1 Young Generation Zeit,G1 Concurrent GC Collections,G1 Concurrent GC Zeit,G1 Old Generation Collections,G1 Old Generation Zeit,GC_Collections_8,GC_Zeit_8,GC_Collections_21,GC_Zeit_21
1,0,0,0,0,4,328,2,1,0,0,0,0,6,329
2,1,143,0,0,2,198,2,2,0,0,1,143,4,200
3,0,0,0,0,3,455,2,1,0,0,0,0,5,456
4,0,0,0,0,4,518,2,1,0,0,0,0,6,519
5,1,684,1,1470,3,426,0,0,0,0,2,2154,3,426
6,0,0,0,0,2,450,2,2,0,0,0,0,4,452
7,0,0,0,0,2,291,2,2,0,0,0,0,4,293
8,0,0,0,0,3,379,2,1,0,0,0,0,5,380
9,1,70,0,0,3,387,2,2,0,0,1,70,5,389
10,0,0,0,0,4,451,2,1,0,0,0,0,6,452
11,0,0,0,0,2,234,2,2,0,0,0,0,4,236
12,1,96,0,0,4,618,2,1,0,0,1,96,6,619
13,0,0,0,0,2,136,2,2,0,0,0,0,4,138
14,0,0,0,0,4,552,2,1,0,0,0,0,6,553
15,1,138,0,0,3,461,2,1,0,0,1,138,5,462
16,0,0,0,0,3,384,2,2,0,0,0,0,5,386
17,0,0,0,0,2,212,2,1,0,0,0,0,4,213
18,1,205,1,562,3,485,2,2,0,0,2,767,5,487
19,0,0,0,0,3,354,2,3,0,0,0,0,5,357
20,0,0,0,0,2,422,0,0,0,0,0,0,2,422
21,1,221,0,0,3,321,2,2,0,0,1,221,5,323
22,0,0,0,0,2,182,2,1,0,0,0,0,4,183
23,0,0,0,0,4,573,2,1,0,0,0,0,6,574
24,1,136,1,107,3,431,2,2,0,0,2,243,5,433
25,0,0,0,0,4,315,2,1,0,0,0,0,6,316
26,1,294,0,0,3,360,2,2,0,0,1,294,5,362
27,0,0,0,0,3,326,2,1,0,0,0,0,5,327
28,1,369,1,1491,3,463,2,2,0,0,2,1860,5,465
29,0,0,0,0,3,322,2,1,0,0,0,0,5,323
30,1,202,0,0,4,543,2,2,0,0,1,202,6,545
31,0,0,0,0,2,136,2,1,0,0,0,0,4,137
32,1,245,0,0,4,606,2,2,0,0,1,245,6,608
33,0,0,0,0,2,202,2,1,0,0,0,0,4,203
34,1,209,0,0,4,613,2,1,0,0,1,209,6,614
35,0,0,0,0,2,181,2,2,0,0,0,0,4,183
36,1,99,0,0,4,608,2,2,0,0,1,99,6,610
37,0,0,0,0,2,134,2,1,0,0,0,0,4,135
38,1,32,0,0,4,672,2,2,0,0,1,32,6,674
39,1,180,0,0,2,193,2,1,0,0,1,180,4,194
40,0,0,0,0,4,590,2,1,0,0,0,0,6,591
41,1,175,0,0,3,445,2,2,0,0,1,175,5,447
42,0,0,0,0,3,336,2,1,0,0,0,0,5,337
43,1,159,0,0,2,153,2,2,0,0,1,159,4,155
44,0,0,0,0,5,716,2,1,0,0,0,0,7,717
45,1,106,0,0,2,272,2,1,0,0,1,106,4,273
46,0,0,0,0,3,424,2,2,0,0,0,0,5,426
47,1,58,0,0,3,458,2,1,0,0,1,58,5,459
48,0,0,0,0,3,424,0,0,0,0,0,0,3,424
49,1,18,0,0,2,235,2,2,0,0,1,18,4,237
50,0,0,0,0,2,419,0,0,0,0,0,0,2,419
